Beacon_Id,AccessionNumber
1,885.1996
2,1.1995
3,1.1997
4,2.1995
5,2.1997
6,3.1995.1
7,3.1995.1-24
8,3.1995.10
9,3.1995.11
10,3.1995.12
11,3.1995.13
12,3.1995.14
13,3.1995.15
14,3.1995.16
15,3.1995.17
16,3.1995.18
17,3.1995.19
18,3.1995.2
19,3.1995.20
20,3.1995.21
21,3.1995.22
22,3.1995.23
23,3.1995.24
24,3.1995.3
25,3.1995.4
26,3.1995.5
27,3.1995.6
28,3.1995.7
29,3.1995.8
30,3.1995.9
31,3.1997
32,4.1995
33,4.1997
34,5.1997
35,6.1995
36,7.1995.1
37,7.1995.1-9
38,7.1995.2
39,7.1995.3
40,7.1995.4
41,7.1995.5
42,7.1995.6
43,7.1995.7
44,7.1995.8
45,7.1995.9
46,8.1995
47,9.1995.1
48,9.1995.1-14
49,9.1995.10
50,9.1995.11
51,9.1995.12
52,9.1995.13
53,9.1995.14
54,9.1995.2
55,9.1995.3
56,9.1995.4
57,9.1995.5
58,9.1995.6
59,9.1995.7
60,9.1995.8
61,9.1995.9
62,1087.2009
63,19.1980
64,20.1980
65,21.2000
66,21.1980
67,22.2000
68,22.1980
69,23.2000
70,23.1980
71,24.1980
72,25.1980
73,26.1980
74,27.1980
75,28.1980
76,33.1990
77,34.1990
78,35.1990
79,36.1990
80,37.1990
81,38.1990
82,39.1990
83,40.1990
84,41.1990
85,42.1990
86,43.1990
87,44.1990
88,45.1990
89,46.1990
90,47.1990
91,48.1990
92,49.1990
93,50.1990
94,51.1990
95,52.1990
96,53.1990
97,54.1990
98,55.1990
99,56.1990
100,57.1990
101,58.1990
102,59.1990
103,60.1990
104,61.1990
105,62.1990
106,63.1990
107,64.1990
108,98.2013
109,96.2013
110,95.2013
111,100.2013
112,83.1989
113,84.1989
114,85.2000
115,85.1989
116,86.2000
117,114.2013
118,86.1989
119,87.2000
120,87.1989
121,88.2000
122,88.1989
123,89.2000.a-b
124,90.2000
125,90.1989
126,91.2000
127,91.1989
128,92.2000
129,92.1989
130,93.2000
131,93.1989
132,94.2000
133,94.1989
134,95.2000
135,95.1989
136,96.2000
137,96.1989
138,97.2000
139,97.1989
140,98.2000
141,98.1989
142,99.2000
143,101.2000
144,102.2000
145,103.2000
146,106.1992
147,107.1992
148,108.1992
149,109.1992
150,110.1992
151,111.1992
152,112.1992
153,113.1992
154,114.1992
155,119.1988
156,120.1988
157,121.1988
158,122.1988
159,123.1988
160,124.1988
161,131.1992
162,131.1995
163,138.1993
164,139.1993
165,140.1993
166,142.1993
167,143.1993
168,144.1993
169,145.1993
170,146.1993
171,148.1993
172,149.1947
173,149.1993
174,150.1993
175,151.1993
176,152.1993
177,153.1993
178,154.1993
179,155.1993.13
180,155.1993.14
181,155.1993.15
182,155.1993.16
183,155.1993.17
184,155.1993.18
185,155.1993.2
186,155.1993.4
187,155.1993.6
188,157.1991
189,158.1991
190,191.1998
191,192.1998
192,194.1973
193,206.1987
194,207.1987
195,208.1987
196,209.1987
197,210.1987.1-2
198,211.1987
199,212.1978
200,212.1987
201,213.1978
202,213.1987
203,214.1987
204,215.1987
205,216.1987
206,217.1987
207,218.1987
208,219.1987
209,220.1987
210,221.1987
211,222.1987
212,223.1987
213,226.1987
214,227.1987
215,240.1981
216,241.1975.1-3
217,241.1981
218,242.1981
219,243.1954
220,252.1986
221,253.1986
222,271.1999
223,272.1999.1
224,272.1999.2
225,272.1999.4
226,273.1999
227,274.1999
228,275.1999
229,276.1999
230,277.1999
231,278.1999
232,279.1999
233,281.1965.a-b
234,282.1965.1-2
235,307.1984
236,308.1984
237,309.1984
238,310.1984
239,313.1984
240,314.1984
241,315.1984
242,316.1984
243,317.1984
244,318.1984
245,319.1984
246,321.1984
247,322.1984
248,324.1984
249,343.1996
250,345.1996
251,347.1996
252,348.1996
253,349.1996
254,350.1993
255,351.1996
256,352.1993.1-6
257,353.1993
258,354.1996
259,355.1996
260,356.1996.1-2
261,357.1996.1
262,357.1996.10
263,357.1996.11
264,357.1996.12.a-j
265,357.1996.13
266,357.1996.14
267,357.1996.15.a-b
268,357.1996.16
269,357.1996.17
270,357.1996.18
271,357.1996.19
272,357.1996.2
273,357.1996.20
274,357.1996.3
275,357.1996.4
276,357.1996.5
277,357.1996.6
278,357.1996.7
279,357.1996.8
280,357.1996.9
281,359.1967
282,360.1966
283,360.1967
284,360.1996
285,361.1967
286,361.1996
287,362.1966
288,362.1967
289,363.1966
290,363.1967
291,364.1966
292,364.1967
293,364.1996
294,365.1966
295,365.1967
296,365.1996
297,366.1967
298,366.1996
299,367.1996
300,368.1967
301,368.1996
302,369.1967
303,369.1994
304,369.1996
305,370.1967
306,370.1994
307,370.1996
308,371.1967
309,371.1996
310,372.1967
311,372.1969
312,372.1996
313,373.1967
314,373.1969
315,373.1994
316,373.1996
317,374.1967
318,374.1969
319,374.1994
320,374.1996
321,375.1967
322,375.1994
323,375.1996
324,376.1967
325,376.1994
326,376.1996
327,377.1967
328,377.1994
329,377.1996
330,378.1967
331,378.1985
332,378.1994
333,378.1996
334,379.1967
335,379.1985
336,379.1994
337,380.1967
338,380.1985
339,380.1994
340,380.1996
341,381.1967
342,381.1985
343,381.1994
344,382.1967
345,382.1985
346,382.1994
347,382.1996
348,383.1967
349,383.1985
350,383.1994
351,384.1967
352,384.1985
353,384.1994
354,385.1967
355,385.1994
356,386.1967
357,386.1985
358,386.1994
359,387.1967
360,387.1985
361,387.1994.1-2
362,388.1967
363,388.1985
364,388.1996
365,389.1964
366,389.1967
367,389.1985
368,390.1964
369,390.1967
370,390.1982
371,390.1985
372,391.1964
373,391.1967
374,391.1982
375,391.1985
376,392.1964
377,392.1967
378,392.1982
379,392.1985
380,393.1964
381,393.1967
382,393.1982
383,393.1985
384,393.1996
385,394.1964
386,394.1967
387,394.1982
388,394.1985
389,394.1988
390,394.1996
391,395.1964
392,395.1967
393,395.1982
394,395.1985
395,395.1988
396,395.1996
397,396.1964
398,396.1967
399,396.1982
400,396.1985
401,396.1996
402,397.1964
403,397.1967
404,397.1982
405,397.1985
406,398.1964
407,398.1967
408,398.1985
409,399.1964
410,399.1967
411,399.1985
412,400.1964
413,400.1967
414,400.1985
415,401.1964
416,401.1967
417,401.1985
418,402.1964
419,402.1967
420,402.1985
421,403.1964
422,403.1967
423,403.1985
424,404.1964
425,404.1967
426,404.1985
427,405.1964
428,405.1967
429,405.1985
430,406.1964.1-3
431,406.1967
432,406.1985
433,407.1964
434,407.1967
435,407.1985
436,408.1964
437,408.1967
438,408.1985
439,409.1964
440,409.1967
441,410.1964
442,410.1967
443,411.1964
444,411.1967
445,412.1967
446,413.1964
447,413.1967
448,414.1964
449,414.1967
450,415.1964
451,415.1967
452,416.1964
453,416.1967
454,417.1964
455,417.1967
456,418.1964
457,418.1967
458,419.1964
459,419.1967
460,420.1964
461,420.1967
462,421.1964
463,421.1967
464,422.1964
465,422.1967
466,423.1967
467,424.1964
468,424.1967
469,424.1976.1
470,424.1976.10
471,424.1976.11
472,424.1976.12
473,424.1976.2
474,424.1976.3
475,424.1976.4
476,424.1976.5
477,424.1976.6
478,424.1976.7
479,424.1976.8
480,424.1976.9
481,425.1967
482,425.1992
483,426.1967
484,426.1992
485,427.1967
486,427.1992
487,428.1967
488,428.1992
489,429.1967
490,429.1992
491,430.1967
492,430.1992
493,431.1967
494,432.1967
495,433.1967
496,434.1967
497,434.1987
498,435.1967
499,435.1987
500,436.1967
501,436.1987
502,437.1967
503,438.1967
504,438.1987
505,439.1967
506,439.1987
507,440.1997
508,441.1997
509,442.1997
510,455.1972
511,456.1972
512,457.1964
513,457.1972
514,458.1964
515,458.1972
516,459.1972
517,461.1985
518,462.1985
519,474.1974
520,475.1997.1-4
521,476.1983
522,477.1983
523,478.1983
524,478.1990
525,479.1983
526,479.1990
527,479.1997.2
528,480.1983
529,480.1990
530,481.1983
531,481.1990
532,482.1983
533,482.1990
534,483.1983
535,483.1990
536,484.1983
537,484.1990
538,485.1990
539,564.1963
540,565.1963.1-2
541,566.1963
542,567.1963
543,568.1963
544,569.1963
545,572.1963
546,576.1981
547,577.1981
548,578.1981
549,579.1981
550,580.1981
551,581.1981
552,582.1981
553,583.1981
554,668.1980.1
555,668.1980.1-2
556,685.1963
557,686.1963
558,689.1963.1
559,689.1963.2
560,689.1963.3
561,690.1963
562,691.1963
563,692.1963
564,694.1963
565,695.1963
566,696.1963
567,697.1963
568,700.1963
569,701.1963
570,703.1963
571,704.1963
572,705.1963
573,706.1963
574,707.1963
575,708.1963
576,710.1963
577,711.1963
578,712.1963
579,715.1963
580,716.1963
581,717.1963
582,719.1963
583,720.1963
584,721.1963
585,722.1963
586,723.1963
587,724.1963
588,725.1963.1
589,726.1963
590,727.1963
591,728.1963
592,729.1963
593,730.1963
594,732.1963
595,733.1963
596,734.1963
597,735.1963
598,736.1963
599,737.1963
600,739.1963
601,866.1968
602,994.1965
603,995.1965
604,996.1965
605,997.1965
606,998.1965
607,999.1965
608,1000.1965
609,1001.1965
610,1002.1965
611,1004.1965
612,1005.1965
613,1157.1974
614,1161.1974
615,1162.1974
616,1180.2000
617,1182.2000
618,1183.2000
619,1184.2000
620,1185.2000
621,1186.2000
622,1187.2000
623,1188.2000
624,1189.2000
625,1191.2000
626,1193.2000
627,1194.2000
628,1195.2000.a-b
629,1197.2000
630,1198.2000
631,1199.2000
632,1200.2000
633,1201.2000
634,1202.2000
635,1203.2000
636,1204.2000
637,1205.2000
638,1207.2000
639,1208.2000
640,1209.2000
641,1210.2000
642,1211.2000
643,1212.2000
644,1213.2000
645,1214.2000
646,1215.2000
647,1216.2000
648,1217.2000
649,1218.2000
650,1219.2000
651,1220.2000
652,1221.2000
653,1222.2000
654,1223.2000
655,1224.2000
656,1225.2000
657,1226.2000
658,1227.2000
659,1228.2000
660,1231.2000
661,1234.2000
662,1235.2000
663,1237.2000
664,1238.2000
665,1239.2000
666,1240.2000
667,1241.2000
668,1242.2000
669,1243.2000
670,1244.2000
671,1245.2000
672,1251.1974
673,1252.1974
674,1254.1974
675,1263.2000.a-d
676,1282.2000
677,1283.2000
678,1284.2000
679,1285.2000
680,1286.2000
681,1287.2000
682,1287.1968
683,1289.2000
684,1289.1968
685,1290.2000
686,1290.1968
687,1291.2000.a
688,1291.2000.b
689,1291.2000.c
690,1292.2000
691,1292.1968
692,1293.2000
693,1294.2000
694,1295.2000
695,1296.2000
696,1297.2000
697,1298.2000
698,1299.2000
699,1300.2000
700,1301.2000
701,1302.2000
702,1303.2000
703,1304.2000
704,1305.2000
705,1306.2000
706,1308.2000
707,1309.2000
708,1310.2000
709,1311.2000
710,1312.2000
711,1313.2000
712,1314.2000.a-b
713,1315.2000
714,1316.2000
715,1318.2000
716,1417.2000.1
717,1417.2000.2
718,1417.2000.3
719,1417.2000.4
720,1417.2000.5
721,1417.2000.6
722,1417.2000.7
723,1602.2000
724,9.1997
725,10.1997
726,12.1997
727,18.1980
728,82.1989
729,101.1996
730,102.1996
731,115.1992
732,123.1984
733,125.1984
734,126.1988
735,127.1988
736,128.1988
737,129.1988
738,130.1988
739,131.1988
740,132.1988
741,141.1993
742,153.1984
743,157.1993
744,158.1993
745,159.1991
746,159.1993
747,193.1998
748,226.1994
749,228.1987
750,230.1987
751,259.1986
752,260.1986
753,261.1986
754,262.1986
755,280.1999
756,281.1999
757,282.1999
758,323.1984
759,356.1993
760,361.1966
761,388.1994
762,389.1994
763,393.1988
764,398.1982
765,399.1982
766,404.1996
767,405.1996
768,406.1996
769,407.1996
770,409.1996
771,410.1996
772,411.1996
773,412.1996
774,413.1996
775,414.1996
776,415.1996
777,416.1996
778,417.1996
779,418.1996.a-h
780,419.1996
781,422.1996
782,424.1996
783,431.1992
784,432.1992
785,433.1992
786,440.1987
787,444.1997
788,445.1997
789,446.1997
790,448.1997
791,449.1997
792,450.1997
793,451.1997
794,452.1997
795,486.1990
796,487.1990
797,488.1990
798,490.1990
799,584.1981
800,585.1981
801,1319.2000
802,2308.2001.1-3
803,2310.2001
804,2255.2001
805,2274.2001
806,2243.2001
807,2265.2001.1-2
808,2291.2001
809,2282.2001
810,2261.2001.1-6
811,2262.2001.1-6
