ConstituentID,DisplayName,ArtistBio,Nationality,Gender,BeginDate,EndDate,Wiki_QID,ULAN
11,Jean (Hans) Arp,"French, born Germany (Alsace). 1886–1966",French,Male,1886,1966,Q153739,500031000
19,Richard Artschwager,"American, 1923–2013",American,Male,1923,2013,Q568262,500114981
21,Ruth Asawa,"American, 1926–2013",American,Female,1926,2013,Q7382874,500077806
23,Charles Robert Ashbee,"British, 1863–1942",British,Male,1863,1942,Q614071,500030367
27,Erik Gunnar Asplund,"Swedish, 1885–1940",Swedish,Male,1885,1940,Q312070,500011232
34,Alvar Aalto,"Finnish, 1898–1976",Finnish,Male,1898,1976,Q82840,500002617
35,Aino Aalto,"Finnish, 1894–1949",Finnish,Female,1894,1949,Q273511,500024110
38,Magdalena Abakanowicz,"Polish, 1930–2017",Polish,Female,1930,2017,Q158080,500084577
39,James Abbe,"American, 1883–1973",American,Male,1883,1973,Q321301,500026671
41,Berenice Abbott,"American, 1898–1991",American,Female,1898,1991,Q231861,500020631
47,Raimund Abraham,"American, born Austria. 1933–2010",American,Male,1933,2010,Q78819,500031964
53,Vito Acconci,"American, 1940–2017",American,Male,1940,2017,Q433471,500014538
57,Henri Georges Adam,"French, 1904–1967",French,Male,1904,1967,Q662900,500020748
60,Ansel Adams,"American, 1902–1984",American,Male,1902,1984,Q60809,500026108
62,Clinton Adams,"American, 1918–2002",American,Male,1918,2002,Q5134058,500042367
68,Charles Addams,"American, 1912–1988",American,Male,1912,1988,Q361106,500074368
70,Jankel Adler,"Polish, 1895–1949",Polish,Male,1895,1949,Q213726,500027359
71,Virginia Admiral,"American, 1915–2000",American,Female,1915,2000,Q7815833,500044912
74,Roy Adzak,"British, 1927–1987",British,Male,1927,1987,Q3445734,500032997
77,Afro (Afro Basaldella),"Italian, 1912–1976",Italian,Male,1912,1976,Q388090,500014109
80,Mehemed Fehmy Agha,"American, born Russia. 1896–1978",American,Male,1896,1978,Q3853982,500032736
83,Olympe Aguado de las Marismas,"French, 1827–1894",French,Male,1827,1894,Q2734214,500345720
86,Otl Aicher (also known as Otto Aicher),"German, 1922–1991",German,Male,1922,1991,Q61191,500058307
87,Lucien Aigner,"American, born Hungary. 1901–1999",American,Male,1901,1999,Q3265338,500043259
88,Gregory Ain,"American, 1908–1988",American,Male,1908,1988,Q5606793,500008108
96,Anni Albers,"American, born Germany. 1899–1994",American,Female,1899,1994,Q86078,500012591
97,Josef Albers,"American, born Germany. 1888–1976",American,Male,1888,1976,Q170071,500033049
100,Ivan LeLorraine Albright,"American, 1897–1983",American,Male,1897,1983,Q1392676,500016413
104,L. (Alfred Lewin Copley) Alcopley,"American, born Germany. 1910–1992",American,Male,1910,1992,Q3611295,500019879
127,Gerhard Altenbourg,"German, 1926–1989",German,Male,1926,1989,Q111018,500029807
132,John Altoon,"American, 1925–1969",American,Male,1925,1969,Q4062989,500019079
135,Manuel Álvarez Bravo,"Mexican, 1902–2002",Mexican,Male,1902,2002,Q712262,500028115
138,Edmond-François Aman Jean,"French, 1858–1936",French,Male,1858,1936,Q576570,500012380
149,Cuno Amiet,"Swiss, 1868–1961",Swiss,Male,1868,1961,Q566797,500005153
165,James Anderson,"British, 1813–1877",British,Male,1813,1877,Q3160907,500001454
169,Paul L. Anderson,"American, 1880–1956",American,Male,1880,1956,Q7152029,500065743
180,Benny Andrews,"American, 1930–2006",American,Male,1930,2006,Q4889934,500111179
186,Raúl Anguiano,"Mexican, 1915–2006",Mexican,Male,1915,2006,Q325503,500061635
189,James Craig Annan,"British, 1864–1946",British,Male,1864,1946,Q2138560,500016620
190,Thomas Annan,"British, 1829–1887",British,Male,1829,1887,Q1926294,500010588
196,Stephen Antonakos,"American, 1926–2013",American,Male,1926,2013,Q15429571,500091275
203,Karel Appel,"Dutch, 1921–2006",Dutch,Male,1921,2006,Q152793,500030857
207,Shusaku Arakawa,"American, born Japan. 1936–2010",American,Male,1936,2010,Q478264,500123705
208,Diane Arbus,"American, 1923–1971",American,Female,1923,1971,Q234608,500012758
209,Aleksandr Archipenko,"American, born Ukraine. 1887–1964",American,Male,1887,1964,Q157578,500022523
211,Mordecai Ardon,"Israeli, born Poland. 1896–1992",Israeli,Male,1896,1992,Q631835,500030956
214,Egmont Arens,"American, 1888–1966",American,Male,1888,1966,Q1298270,500125347
220,Arman,"American, born France. 1928–2005",American,Male,1928,2005,Q367973,500003632
224,Kenneth Armitage,"British, 1916–2002",British,Male,1916,2002,Q659535,500008896
225,John Taylor Arms,"American, 1887–1953",American,Male,1887,1953,Q6260399,500022283
226,John Armstrong,"British, 1893–1973",British,Male,1893,1973,Q19325186,500027012
229,Eugène Atget,"French, 1857–1927",French,Male,1857,1927,Q322030,500008199
230,John Atherton,"American, 1900–1952",American,Male,1900,1952,Q20200670,500011141
233,Lawrence Atkinson,"British, 1873–1931",British,Male,1873,1931,Q4072108,500002487
235,Jean-Michel Atlan,"French, born Algeria. 1913–1960",French,Male,1913,1960,Q689646,500055885
243,George Ault,"American, 1891–1948",American,Male,1891,1948,Q2282231,500005655
247,Edward Avedisian,"American, 1936–2007",American,Male,1936,2007,Q5341650,500004353
248,Richard Avedon,"American, 1923–2004",American,Male,1923,2004,Q305497,500013773
250,Milton Avery,"American, 1885–1965",American,Male,1885,1965,Q2714574,500002713
